Month,Production_kWh
Jan,37798.98
Feb,72188.48
Mar,108994.4
Apr,146346.62
May,165810.86
Jun,147901.73
Jul,172549.22
Aug,166302.86
Sep,138417.0
Oct,74221.47
Nov,28597.7
Dec,27310.77
