Month,Production_kWh
Jan,34362.29
Feb,65724.83
Mar,99616.76
Apr,134101.98
May,152280.27
Jun,136003.52
Jul,158569.1
Aug,152488.8
Sep,126534.06
Oct,67753.97
Nov,26092.17
Dec,24820.64
